节点代码,机场,国家,城市
EZE50-P1,埃塞萨国际机场,阿根廷,布宜诺斯艾利斯
EZE51-C1,埃塞萨国际机场,阿根廷,布宜诺斯艾利斯
MEL50-C1,墨尔本机场,澳大利亚,墨尔本
PER50-C1,珀斯机场,澳大利亚,珀斯
SYD1-C1,悉尼机场,澳大利亚,悉尼
SYD4-C1,悉尼机场,澳大利亚,悉尼
SYD4-C2,悉尼机场,澳大利亚,悉尼
SYD62-P1,悉尼机场,澳大利亚,悉尼
SYD62-P2,悉尼机场,澳大利亚,悉尼
VIE50-C1,维也纳国际机场,奥地利,维也纳
BAH52-C1,巴林国际机场,巴林,麦纳麦
BAH53-C1,巴林国际机场,巴林,麦纳麦
BRU50-C1,布鲁塞尔机场,比利时,布鲁塞尔
FOR50-P2,福塔莱萨机场,巴西,福塔莱萨
FOR50-P4,福塔莱萨机场,巴西,福塔莱萨
GIG51-C2,里约热内卢国际机场,巴西,里约热内卢
GIG51-P2,里约热内卢国际机场,巴西,里约热内卢
GIG51-P3,里约热内卢国际机场,巴西,里约热内卢
GRU1-C2,圣保罗国际机场,巴西,圣保罗
GRU3-C1,圣保罗国际机场,巴西,圣保罗
GRU3-C2,圣保罗国际机场,巴西,圣保罗
GRU3-P1,圣保罗国际机场,巴西,圣保罗
GRU3-P2,圣保罗国际机场,巴西,圣保罗
GRU50-C1,圣保罗国际机场,巴西,圣保罗
SOF50-C1,索菲亚机场,保加利亚,索菲亚
YUL62-C2,蒙特利尔特鲁多机场,加拿大,魁北克省蒙特利尔
YTO50-C1,多伦多市,加拿大,安大略省多伦多
YTO50-C3,多伦多市,加拿大,安大略省多伦多
YTO50-P1,多伦多市,加拿大,安大略省多伦多
YTO50-P2,多伦多市,加拿大,安大略省多伦多
YVR50-C1,温哥华国际机场,加拿大,大不列颠哥伦比亚省温哥华
SCL50-C1,圣地亚哥-普达韦尔机场,智利,圣地亚哥
BJS,北京市,中国,北京
HKG54-C1,香港国际机场,中国,香港
HKG60-C1,香港国际机场,中国,香港
HKG62-C2,香港国际机场,中国,香港
SHA,上海虹桥国际机场,中国,上海
SZX,深圳宝安国际机场,中国,广东深圳
TPE50-C1,桃园国际机场,中国,台湾台北
TPE51-C1,桃园国际机场,中国,台湾台北
TPE52-C1,桃园国际机场,中国,台湾台北
ZHY,中卫沙坡头机场,中国,宁夏中卫
BOG50-C1,埃尔多拉多国际机场,哥伦比亚,波哥大
BOG50-P1,埃尔多拉多国际机场,哥伦比亚,波哥大
ZAG50-C1,萨格勒布国际机场,克罗地亚,萨格勒布
PRG50-C1,布拉格国际机场,捷克,布拉格
CPH50-C1,哥本哈根凯斯楚普机场,丹麦,哥本哈根
CPH50-C2,哥本哈根凯斯楚普机场,丹麦,哥本哈根
HEL50-C1,赫尔辛基机场,芬兰,赫尔辛基
HEL51-P1,赫尔辛基机场,芬兰,赫尔辛基
HEL51-P2,赫尔辛基机场,芬兰,赫尔辛基
MRS52-C1,马赛普罗旺斯机场,法国,马赛
MRS52-C2,马赛普罗旺斯机场,法国,马赛
MRS52-P2,马赛普罗旺斯机场,法国,马赛
MRS52-P3,马赛普罗旺斯机场,法国,马赛
CDG3-C2,巴黎夏尔·戴高乐机场,法国,巴黎
CDG50-C2,巴黎夏尔·戴高乐机场,法国,巴黎
CDG50-P1,巴黎夏尔·戴高乐机场,法国,巴黎
CDG50-P2,巴黎夏尔·戴高乐机场,法国,巴黎
CDG52-P1,巴黎夏尔·戴高乐机场,法国,巴黎
CDG52-P2,巴黎夏尔·戴高乐机场,法国,巴黎
TXL50-P1,柏林-泰格尔机场,德国,柏林
TXL50-P3,柏林-泰格尔机场,德国,柏林
TXL52-C1,柏林-泰格尔机场,德国,柏林
DUS51-C1,杜塞尔多夫机场,德国,杜塞尔多夫
DUS51-P1,杜塞尔多夫机场,德国,杜塞尔多夫
DUS51-P2,杜塞尔多夫机场,德国,杜塞尔多夫
FRA2-C1,法兰克福机场,德国,法兰克福
FRA2-C2,法兰克福机场,德国,法兰克福
FRA6-C1,法兰克福机场,德国,法兰克福
FRA50-C1,法兰克福机场,德国,法兰克福
FRA56-C1,法兰克福机场,德国,法兰克福
FRA56-P4,法兰克福机场,德国,法兰克福
FRA60-P1,法兰克福机场,德国,法兰克福
FRA60-P3,法兰克福机场,德国,法兰克福
HAM50-C1,汉堡机场,德国,汉堡
HAM50-C2,汉堡机场,德国,汉堡
HAM50-C3,汉堡机场,德国,汉堡
MUC50-C1,慕尼黑机场,德国,慕尼黑
MUC50-P1,慕尼黑机场,德国,慕尼黑
MUC50-P2,慕尼黑机场,德国,慕尼黑
MUC51-C1,慕尼黑机场,德国,慕尼黑
ATH50-C1,雅典埃莱夫塞里奥斯·韦尼泽洛斯国际机场,希腊,雅典
BUD50-C1,布达佩斯李斯特·费伦茨国际机场,匈牙利,布达佩斯
BLR50-C2,班加罗尔国际机场,​印度,班加罗尔
MAA50-C1,金奈国际机场,印度,金奈
MAA50-C2,金奈国际机场,印度,金奈
MAA51-C2,金奈国际机场,印度,金奈
MAA51-P1,金奈国际机场,印度,金奈
MAA51-P2,金奈国际机场,印度,金奈
MAA51-P3,金奈国际机场,印度,金奈
HYD50-C1,拉吉夫·甘地国际机场,印度,海得拉巴
HYD50-C2,拉吉夫·甘地国际机场,印度,海得拉巴
CCU50-C1,内塔吉·苏巴斯·钱德拉·鲍斯国际机场,印度,加尔各答
CCU50-C2,内塔吉·苏巴斯·钱德拉·鲍斯国际机场,印度,加尔各答
BOM50-C1,贾特拉帕蒂·希瓦吉·马哈拉杰国际机场,印度,孟买
BOM51-C1,贾特拉帕蒂·希瓦吉·马哈拉杰国际机场,印度,孟买
BOM51-C2,贾特拉帕蒂·希瓦吉·马哈拉杰国际机场,印度,孟买
BOM52-C1,贾特拉帕蒂·希瓦吉·马哈拉杰国际机场,印度,孟买
BOM78-P4,贾特拉帕蒂·希瓦吉·马哈拉杰国际机场,印度,孟买
DEL51-C1,英迪拉·甘地国际机场,印度,新德里
DEL51-P1,英迪拉·甘地国际机场,印度,新德里
DEL51-P3,英迪拉·甘地国际机场,印度,新德里
DEL54-C1,英迪拉·甘地国际机场,印度,新德里
DEL54-C3,英迪拉·甘地国际机场,印度,新德里
CGK50-P1,苏加诺-哈达国际机场,印度尼西亚,雅加达
CGK51-P1,苏加诺-哈达国际机场,印度尼西亚,雅加达
CGK52-C1,苏加诺-哈达国际机场,印度尼西亚,雅加达
DUB2-C1,都柏林机场,爱尔兰,都柏林
DUB56-P1,都柏林机场,爱尔兰,都柏林
TLV50-C2,本-古里昂机场,以色列,特拉维夫
MXP63-P2,米兰-马尔彭萨机场,意大利,米兰
MXP63-P3,米兰-马尔彭萨机场,意大利,米兰
MXP64-C1,米兰-马尔彭萨机场,意大利,米兰
MXP64-C2,米兰-马尔彭萨机场,意大利,米兰
PMO50-C1,法尔科内-博尔塞利诺机场,意大利,巴勒莫
FCO50-C1,罗马-菲乌米奇诺机场,意大利,罗马
FCO50-C2,罗马-菲乌米奇诺机场,意大利,罗马
FCO50-P2,罗马-菲乌米奇诺机场,意大利,罗马
